N°,Défis,Impact,Actions requises
1,"Réticence aux prélèvements post-mortem (EDS/swabs), résistance communautaire et insécurité visant les équipes EDS (attaque au pont Muchanga, paralysie des activités à Nyankunde)","Retard de confirmation, sous-estimation des cas, perturbation des activités clés","Intensifier la CREC, impliquer les leaders religieux et communautaires, sécuriser les équipes, augmenter le nombre d'équipes EDS"
2,Non-paiement des prestataires (grève dans les ZS de Bunia et de Rwampara ; reprise annoncée après l'intervention du gouverneur militaire de l'Ituri),"Interruption des activités de riposte, dont les enterrements dignes et sécurisés",Régulariser le paiement des prestataires ; sécuriser un financement dédié
3,"Capacité des CTE/CT insuffisante : occupation de 139,0 % au Nord-Kivu (capacité de 141 lits : non rapportée depuis cinq cycles) et six structures au-delà de leur capacité pour les confirmés en Ituri, dont le CTE de Nizi à 322 % et le CTE de Lita à 140 % ;","Retards d'admission, augmentation du risque de transmission nosocomiale","Accélérer la construction et l'expansion des CTE, déployer des structures temporaires, rapporter systématiquement les capacités en lits"
4,"Performance du suivi des contacts insuffisante : Ituri 80,0 %, Nord-Kivu 74,7 %, Haut-Uélé 66,7 % et Sud-Kivu 100 %, la Tshopo n'ayant pas rapporté ; les ZS de Kambala, Damas et Mandima (Ituri) et de Rungu (Haut-Uélé) sans données exploitables",Chaînes de transmission non interrompues,"Former, déployer et motiver les relais communautaires (RECO) ; supervision renforcée ; consolider le redressement observé en Ituri"
5,Insuffisance d'ambulances et prépositionnement aux PoC,Retards de transfert et d'isolement,"Prépositionner des ambulances (dont aux PoE/PoC), déployer des CT par ZS"
6,Insuffisance d'approvisionnement en MEG et intrants médicaux,Fragilisation de la prise en charge globale,Plaidoyer et approvisionnement urgent en médicaments essentiels
7,"Insuffisance des intrants PCI (EPI, chlore) et unités de triage fonctionnelles limitées (181/1170, soit 15 %)",Risque élevé d'infections nosocomiales (141 cas PPL dont 41 décès en Ituri ; 11 PPL dont 3 décès au Nord-Kivu et 3 PPL confirmés au Haut-Uélé),"Approvisionnement urgent, renforcement des formations en PCI"
8,"Extension géographique (Haut-Uélé, Tshopo) et forte mobilité","Risque de diffusion urbaine, fluviale et transfrontalière",Activer les 23 PoE/PoC prioritaires du Haut-Uélé ; renforcer la coordination transfrontalière
9,"Installation de laboratoires de proximité (Rwampara, Fataki, Bambu-mine, Boga et Mambasa)","Délais de confirmation longs, transmission non détectée",Accélérer le déploiement des capacités diagnostiques décentralisées
10,Insuffisance des ressources financières,Limitation de la mise en œuvre des piliers,"Mobilisation urgente des ressources, plaidoyer auprès des partenaires"
11,"Insécurité et accès limité (CODECO, ADF)",Restriction des opérations,Renforcement de la coordination sécuritaire et de l'accès humanitaire
12,Continuité des services essentiels (CEHS) compromise,Augmentation de la mortalité indirecte (non-Ebola),"Mise en œuvre effective de la gratuité des soins, renforcement CEHS"
