Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Ensemble
Patients au lit (J-1),544,201,24,769
Total admissions (24h),67,21,6,94
Sorties (24h) Décédés (Suspects/Conf.),14,1,0,15
Sorties (24h) Non-cas,42,33,0,75
Sorties (24h) Guéris,12,0,0,12
Sorties (24h) Évadés (Suspects/Conf.),8,0,0,8
Sorties (24h) Transférés à l'HGR,0,0,0,0
Sorties (24h) Total sorties,76,34,0,110
Patients en isolement (Fin J),535,188,30,753
dont confirmés (NC+AC),227,21,0,248
dont suspects,308,201,30,539
Taux d'occupation global,87%,"129,6%","66,6%","93,9%"
