Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,10 100,7 616,"75,4%"
Nord-Kivu,3 761,3 074,"81,7%"
Tshopo,75,75,"100,0%"
Haut-Uélé,ND,ND,ND
Sud-Kivu (fin de suivi),0,0,NA
Total,13 936,10 765,"77,2 %"
