Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI Bunia,80,8,"10,0"
ITURI Rwampara,65,13,"20,0"
ITURI Mongbwalu,47,10,"21,3"
ITURI Nyankunde,19,1,"5,3"
ITURI Bambu,2,2,"100,0"
ITURI Aru,2,1,"50,0"
ITURI Kilo,2,0,"0,0"
ITURI Nizi,2,0,"0,0"
ITURI Mangala,1,0,"0,0"
ITURI Damas,1,0,"0,0"
ITURI Aungba,1,0,"0,0"
ITURI Gety,1,0,"0,0"
ITURI Komanda,1,0,"0,0"
ITURI Lita,1,0,"0,0"
ITURI Logo,1,0,100
ITURI Mambasa,2,1,50
ITURI Autres ZS (données non ventilées),94,10,"10,6"
ITURI Sous-total Ituri,322,46,"14,3"
NORD-KIVU Katwa,7,5,"71,4"
NORD-KIVU Beni,5,3,"60,0"
NORD-KIVU Butembo,2,2,"100,0"
NORD-KIVU Oicha,2,2,"100,0"
NORD-KIVU Kalunguta,1,1,"100,0"
NORD-KIVU Kyondo,1,0,"0,0"
NORD-KIVU Goma,1,0,"0,0"
NORD-KIVU Sous-total Nord-Kivu,19,13,"68,4"
SUD-KIVU Miti-Murhesa,3,1,"33,3"
SUD-KIVU Sous-total Sud-Kivu,3,1,"33,3"
TOTAL,344,60,"17,4"
