Indicateurs,ZS Mongbwalu,ZS Rwampara,ZS Bunia,Total
Alertes reçues,256,72,12,340
Cas investigués,256,72,8,336
Cas suspects prélevés,7,25,0,32
Cas Confirmés,0,13,0,13
Cas Probables,57,27,3,87
Cas Suspects en isolement,3,5,4,12
Cas suspects en cours de prélèvement,0,5,6,11
