Provinces,Zones de santé,Nbre de cas suspects,Nbre de décès suspects,Nbre de cas Confirmés,Nbre de contacts
Ituri,Mongbwalu,309,77,13,176
Ituri,Rwampara,154,43,25,335
Ituri,Bunia,90,23,6,203
Ituri,Nyankunde,19,5,4,133
Nord-Kivu,Goma,1,0,1,N
Nord-Kivu,Katwa,1,0,1,ND
Nord-Kivu,Butembo,1,0,1,ND
Total,Total,575,148,51,847
