Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,92 %,100 %,"55,5 %","83,3 %","64,0 %",ND,"78,9 %"
% des PoE/PoC stratégiques fonctionnels,"9,1 %",NA,NA,NA,NA,NA,"9,1 %"
Nombre de personnes passées aux PoE/PoC,137 005,90 809,8 095,12 221,12 849,6 037,267 016
% des voyageurs screenés,"98,0 %","97,9 %","98,7 %","99,0 %","99,0 %","99,0 %","98,1 %"
% des voyageurs ayant lavé les mains,"98,0 %","97,9 %","98,7 %","99,0 %","99,0 %",ND,"98,1 %"
% des voyageurs sensibilisés,"99,6 %","97,9 %",100 %,100 %,"99,0 %",ND,"99,0 %"
Nombre d’alertes notifiées,0,2,0,0,1,6,9
Nombre d’alertes vivantes validées (cas suspects),0,0,0,0,1,0,1
Nombre de corps sans vie interceptés ce jour,0,1,0,0,0,0,1
% des cas suspects transférés au CT/CTE,NA,NA,NA,NA,100 %,NA,100 %
% des corps sans vie swabés/sécurisés,NA,100 %,NA,NA,NA,NA,100 %
% des cas suspects investigués dans 24 h,NA,100 %,NA,NA,100 %,NA,100 %
