Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),31,0,13,44
Nouvelles Alertes,129,515,11,655
Total Alertes du jour,160,515,24,699
Alertes investiguées,160,515,20,695
Taux d'investigation,"100,0%","100,0%","83,3%","99,4%"
Alertes validées Vivantes,47,39,7,93
Alertes validées Décédées,19,26,0,45
Total des cas suspects du jour,66,65,7,138
