Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4020,1745,"43,4%",41,5,14,19
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,7,2,"28,6%","","","",0
Aungba,10,5,"50,0%","","","",0
Bambu,104,22,"21,2%",11,0,"",0
Boga,1,1,"100,0%","","","",0
Bunia,1100,333,"30,3%",5,0,"",0
Damas,21,9,"42,9%","","","",0
Drodro,13,6,"46,2%","","","",0
Fataki,62,30,"48,4%",3,0,"",0
Gethy,2,1,"50,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,31,12,"38,7%",1,0,"",0
Komanda,43,29,"67,4%",1,0,"",0
Lita,169,97,"57,4%","","","",0
Logo,11,5,"45,5%","","","",0
Lolwa,14,4,"28,6%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,13,6,"46,2%","","","",0
Mandima,22,13,"59,1%",3,0,"",0
Mangala,122,76,"62,3%","","","",0
Mongbwalu,581,282,"48,5%","","","",0
Nia-Nia,156,92,"59,0%",5,4,"",4
Nizi,513,231,"45,0%",4,0,"",0
Nyankunde,120,35,"29,2%",2,0,"",0
Rimba,9,4,"44,4%","","","",0
Rwampara,823,319,"38,8%",5,0,"",0
Tchomia,49,25,"51,0%",1,1,"",1
A ventiler,NA,98,NA,NA,NA,14,14
Nord-Kivu,569,404,"71,0%",16,9,0,9
Beni,86,65,"75,6%",1,0,"",0
Butembo,108,91,"84,3%",1,0,"",0
Goma,1,0,"0,0%","","","",0
Kalunguta,11,5,"45,5%",1,1,"",1
Katwa,274,188,"68,6%",12,8,"",8
Kyondo,14,12,"85,7%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,2,1,"50,0%","","","",0
Masereka,7,4,"57,1%","","","",0
Musienene,56,32,"57,1%",1,0,"",0
Oicha,5,4,"80,0%","","","",0
Vuhovi,4,1,"25,0%","","","",0
Haut-Uélé,123,57,"46,3%",4,0,2,2
Boma Mangbetu,22,6,"27,3%","","",1,1
Gombari,1,1,"100,0%","","","",0
Isiro,39,19,"48,7%",2,0,"",0
Pawa,19,14,"73,7%",2,0,"",0
Rungu,1,0,"0,0%","","","",0
Wamba,41,17,"41,5%","","",1,1
Tshopo,11,6,"54,5%",1,0,0,0
Bafwasende,1,0,"0,0%","","","",0
Kabondo,3,2,"66,7%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,3,3,"100,0%","","","",0
Mangobo,1,1,"100,0%","","","",0
Tshopo,1,0,"0,0%",1,0,"",0
Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%",0,0,0,0
Bas Uélé,1,1,"100,0%",0,0,0,0
Buta,1,1,"100,0%",0,0,0,0
Total,4727,2214,"46,8%",62,14,16,30
