Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,61,4972,2 247,"45,2%","28/36 (77,8 %)"
Nord-Kivu,28,828,559,"67,5%","15/34 (44,1 %)"
Haut-Uélé,7,216,94,"43,5%","6/13 (46,1 %)"
Tshopo,0,19,8,"42,1%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,3,2,"66,7%","3/11(27,3%)"
Total,96,6 041,2 911,"48,2%","60/151 (39,7 %)"
