Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,47,5508,2 501,"45,4%","28/36 (77,8 %)"
Nord-Kivu,46,1139,725,"63,7%","16/34 (47,0 %)"
Haut-Uélé,6,264,110,"41,7%","6/13 (46,1 %)"
Tshopo,0,24,9,"37,5%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,4,3,"75,0%","3/11(27,3 %)"
Total,99,6 942,3 349,"48,2%","61/151 (40,4 %)"
