Indicateurs sur les alertes,Bunia,Rwampara,Nyankunde,Mongbwalu,Nizi,Lita,Bambu,Fataki,Total
Report des alertes (17/05),3,7,0,0,0,0,ND,ND,10
Nouvelles alertes (18/05),13,23,4,11,1,2,ND,ND,54
Total des alertes du jour (18/05),16,30,4,11,1,2,ND,ND,64
Alertes vivants,10,20,3,9,1,2,ND,ND,45
Alertes décédés,6,10,1,2,0,0,ND,ND,19
Alertes investiguées,16,22,4,9,1,2,ND,ND,54
Alertes non investiguées,0,0,0,9,0,0,ND,ND,9
Alertes validées,16,21,4,9,1,2,ND,ND,53
Alertes invalidées,0,1,0,2,0,0,ND,ND,3
Cas suspects prélevés,10,21,4,2,0,0,ND,ND,37
Cas suspects isolés,9,46,3,9,0,2,ND,ND,69
Cas suspects non isolés,1,0,0,0,1,0,ND,ND,2
