"Provinces touchées","Zones de santé","Nouveaux cas confirmés","Nouveaux décès confirmés","Nouveaux cas probables","Nouveaux cas suspects","Nouveaux contacts listés","Guéris du jour"
"Ituri","Bunia",0,0,"ND","29","76",0
"","Rwampura",4,0,"ND","18","215",0
"","Mungbwalou",12,0,"ND","7","15",0
"","Nyankunde",0,0,"ND","5","0",0
"","Sous total",16,0,"0","59","306",0
"Nord-Kivu","Goma",0,0,"ND","ND","ND",0
"","Butembo",0,0,"ND","ND","ND",0
"","Katwa",0,0,"ND","ND","ND",0
"","Sous total",0,0,"0","0","0",0
"Total","",16,0,"0","59","306",0
