Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,233,500,ND,733
Alertes investiguées,233,500,ND,733
Taux d'investigation,"100,0%","100,0%",ND,"100,0%"
Alertes validées Vivantes,75,40,ND,115
Alertes validées Décédées,21,26,ND,47
Total des cas suspects du jour,96,66,ND,162
