Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 703,3 357,"71,4%"
Nord-Kivu,841,597,"71,0%"
Sud-Kivu,224,187,"83,5%"
Total,5 768,4 141,"71,8%"
