Zones de santé,Suivi journalier Report du 23/05/2026,Suivi journalier Nouveaux contacts le 20/05/2026,Suivi journalier Contact à suivre ce jour,Suivi journalier Contacts vus,Suivi journalier Sorties 21 Jrs,Suivi journalier Devenus Suspects,Taux de suivi,Total non vus,Raison de non vus Simple Absence,Raison de non vus Perdus de vue (≥72 heures),Raison de non vus Jamais vus,Raison de non vus Refus,Raison de non vus Déplacés,Raison de non vus Reco n'est pas passé,Reste à suivre le jour suivant
BUNIA,361,43,404,71,0,0,"17,6 %",333,0,0,0,0,0,333,404
RWAMPARA,621,0,621,ND,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,621
NYANKUNDE,365,0,365,ND,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,365
MONGBWALU,222,0,222,ND,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,222
NIZI,15,7,22,15,0,1,"68,2 %",7,0,0,0,0,0,7,22
ARU,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0
KILO,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0
Total,1603,142,1745,351,0,13,20%,1394,99,1,0,0,0,1294,1745
