Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,11 480,7 817,"68,1%"
Nord-Kivu,2 280,2 045,"89,7%"
Sud Kivu*,0,0,NA
Total,13 760,9 862,"71,7%"
