Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,158,153,5,316
Alertes investiguées,157,152,4,313
Taux d'investigation,"99,4 %","99,3 %","80,0 %","99,1 %"
Alertes validées,122,20,2,144
