Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,700,141,ND,ND,841
Patients au lit (J-1),542,179,ND,ND,721
Total admissions (24 h),86,33,ND,ND,119
Total admissions,628,212,ND,ND,840
Sorties Décédés,19,0,ND,ND,19
Sorties Non-cas,19,37,ND,ND,56
Sorties Guéris,32,0,ND,ND,32
Sorties Évadés,10,1,ND,ND,11
Sorties Transférés à l'HGR,0,0,ND,ND,0
Total sorties (24 h),80,38,ND,ND,118
Patients en isolement (fin J),548,174,ND,ND,722
