PoE/PoC,TOTAL
Voyageurs passés par le PoE/PoC,11628
Voyageurs screenés,11143
Voyageurs ayant lavés les mains,11413
Voyageurs sensibilisés sur la MVE,11628
Contacts listés,0
Alertes remontées,0
