Province,Nombre de nouveaux contacts n,Nombre de nouveaux contacts %,Nombre de contacts devenus suspects n,Nombre de contacts devenus suspects %,Nombre de contacts sorties au 21 jours n,Nombre de contacts sorties au 21 jours %
Ituri,571,"88,8%",4,"100,0%",214,"40,4%"
Nord-Kivu,72,"11,2%",0,"0,0%",316,"59,6%"
Total,643,"100,0%",4,"100,0%",530,"100,0%"
