Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,800,141,ND,ND,941
Patients au lit (J-1),498,183,ND,ND,681
Total admissions (24 h),96,30,ND,ND,126
Total admissions,594,213,ND,ND,807
Sorties Décédés,11,3,ND,ND,14
Sorties Non-cas,40,17,ND,ND,57
Sorties Guéris,11,1,ND,ND,12
Sorties Evadés,1,0,ND,ND,1
Sorties Transférés à l'HGR,0,0,ND,ND,0
Total sorties (24 h),63,21,ND,ND,84
Patients en isolement (fin J),531,192,ND,ND,723
dont confirmés,304,21,ND,ND,325
dont suspects,227,171,ND,ND,398
Taux d'occupation,"66,4%","136,2 %",ND,ND,"76,8%"
