Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,2 646,1 107,"41,8 %",51,18,12,30
Ituri Adja,10,1,"10,0%","","","",""
Ituri Aru,5,1,"20,0%","","","",""
Ituri Ariwara,7,1,"14,3%","","","",""
Ituri Aungba,4,4,"100,0%","","","",""
Ituri Bambu,51,10,"19,6%",0,0,1,1
Ituri Boga,1,1,"100,0%","","","",""
Ituri Bunia,713,185,"25,9%",17,6,4,10
Ituri Damas,14,8,"57,1%",1,0,0,0
Ituri Drodro,6,4,"66,7%","","","",""
Ituri Fataki,17,6,"35,3%","","","",""
Ituri Gethy,1,0,"0,0%","","","",""
Ituri Kambala,2,0,"0,0%","","","",""
Ituri Kilo,23,11,"47,8%","","","",""
Ituri Komanda,33,22,"66,7%",3,1,0,1
Ituri Lita,103,59,"57,3%",2,1,0,1
Ituri Logo,9,3,"33,3%",1,0,0,0
Ituri Lolwa,4,1,"25,0%","","","",""
Ituri Mahagi,1,1,"100,0%","","","",""
Ituri Mambasa,7,4,"57,1%","","","",""
Ituri Mandima,13,9,"69,2%","","","",""
Ituri Mangala,92,60,"65,2%",6,1,0,1
Ituri Mongbwalu,484,228,"47,1%",2,1,1,2
Ituri Nia Nia,78,43,"55,1%",0,0,2,2
Ituri Nizi,316,151,"47,8%",8,5,2,7
Ituri Nyankunde,114,30,"26,3%","","","",""
Ituri Rimba,8,4,"50,0%",1,0,0,0
Ituri Rwampara,490,236,"48,2%",9,3,2,5
Ituri Tchomia,40,24,"60,0%",1,0,0,0
Nord-Kivu,290,182,"62,8 %",15,8,2,10
Nord-Kivu Beni,42,29,"69,0%",1,0,0,0
Nord-Kivu Butembo,63,41,"65,1%",1,1,1,2
Nord-Kivu Goma,1,0,"0,0%","","","",""
Nord-Kivu Kalunguta,4,3,"75,0%","","","",""
Nord-Kivu Katwa,133,85,"63,9%",12,7,1,8
Nord-Kivu Kyondo,10,7,"70,0%","","","",""
Nord-Kivu Mabalako,1,0,"0,0%","","","",""
Nord-Kivu Masereka,4,0,"0,0%","","","",""
Nord-Kivu Musienene,27,13,"48,1%",1,0,0,0
Nord-Kivu Oicha,4,3,"75,0%","","","",""
Nord-Kivu Vuhovi,1,1,"100,0%","","","",""
Sud-Kivu,3,1,"33,3 %",—,"","",—
Sud-Kivu Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,29,15,"51,7 %",2,0,0,0
Haut-Uélé Boma Mangbetu,6,2,33.3%,"","","",""
Haut-Uélé Isiro,8,5,62.5%,"","","",""
Haut-Uélé Pawa,7,5,71.4%,"","","",""
Haut-Uélé Rungu,1,0,0.0%,1,"","",""
Haut-Uélé Wamba,7,3,42.9%,1,"","",""
Tshopo,5,4,"80,0 %",—,"","",—
Tshopo Lubunga,1,0,0.0%,"","","",""
Tshopo Makiso-Kisangani,3,3,100.0%,"","","",""
Tshopo Mangobo,1,1,100.0%,"","","",""
Total,2 973,1 309,"44,0 %",68,26,14,40
