Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),7,0,5,12
Nouvelles Alertes,290,962,19,1271
Total Alertes du jour,297,962,24,1283
Alertes investiguées,290,962,19,1271
Taux d'investigation,"97,6%","100,0%","79,2%","99,1%"
Alertes validées Vivantes,121,44,4,169
Alertes validées Décédées,44,26,0,70
Total des cas suspects du jour,165,70,4,239
