Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),100 % (9/9),"21,1 % (4/19)","30,3 % (10/33)","72,3 %"
Nombre de personnes passées aux PoE/PoC,103 673,63 731,83 848,1 400,13 507,266 159
% des voyageurs screenés,"97,1 %","96,8 %","100,0 %","100,0 %","100,0 %","98,1 %"
% des voyageurs ayant lavé les mains,"96,8 %","96,8 %","100,0 %","99,8 %","100,0 %","98,0 %"
% des voyageurs sensibilisés,"99,1 %","96,8 %","100,0 %","100,0 %","100,0 %","98,9 %"
Nombre d'alertes notifiées,0,2,0,0,0,2
Nombre d'alertes vivantes validées,0,0,0,0,0,0
Nombre de corps sans vie interceptés ce jour,0,1,0,0,0,1
Nombre de contacts à problème interceptés ce jour,0,0,0,0,0,0
% d'alertes vivantes validées référées au CT/CTE,0,0,0,0,0,0
% des corps sans vie swabés,0,100 % (1/1),0,0,0,100 % (1/1)
Nombre de résultat positif des cas suspects référés,0,0,0,0,0,0
