Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,49,5065,2 305,"45,5%","28/36 (77,8 %)"
Nord-Kivu,32,868,589,"67,9%","15/34 (44,1 %)"
Haut-Uélé,5,227,100,"44,1%","6/13 (46,1 %)"
Tshopo,0,19,9,"47,4%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,4,3,"75,0%","3/11(27,3%)"
Total,86,6 186,3 007,"48,6%","60/151 (39,7 %)"
