Indicateurs,Résultats
Proportion de PoC activés,"80,0% (44/55)"
Nombre des voyageurs passés,69 261
% des voyageurs screenés,"98,0%"
% des voyageurs ayant lavé les mains,"97,0%"
% des voyageurs sensibilisés,"97,0%"
Nombre d’alertes notifiées,3
Nombre d'alertes validées,1
% de résultats disponibles dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,0
Nombre de contacts interceptés ce jour,0
