Health Zone,Alert Report (18/05),New Alerts (19/05),Total Alerts Today (19/05),Living Alerts,Alerts Decided,Alerts Investigated,Alerts Not Investigated,Validated Alerts,Invalid Alerts,Suspected Cases Sampled,Suspected Cases Not Sampled,Isolated Suspected Cases,Non-Isolated Suspected Cases
Bunia,0,35,35,30,5,33,2,29 (5 deaths),4,10,19,30,0
Rwampara,8,19,27,22,5,20,7,18,2,13,5,13,0
Nyankunde,0,6,6,2,4,5,1,5,0,5,0,5,0
Mongbwalu,0,7,7,4,3,7,0,7,0,7,0,4,0
Komanda,0,3,3,2,1,3,0,3,0,2,1 (death),2,0
Bambu,0,1,1,0,1,1,0,1,0,0,1 (death),0,0
Mangala,0,2,2,2,0,2,0,2,0,1,1 (living),1,1
**Total**,**8**,**73**,**81**,**62**,**19**,**71**,**10**,**36**,**6**,**38**,**27**,**55**,**1**
