Province,Cas confirmés,Décès (confirmés),Létalité,ZS touchées,Nouveaux cas
Ituri,341,48,"14,1 %",17 / 36,19
Nord-Kivu,19,13,"68,4 %",7 / 34,0
Sud-Kivu,3,1,"33,3 %",1 / 34,0
TOTAL,363,62,"17,1 %",25 / 104,19
