Indicateurs,ZS Bunia,ZS Rwampara,ZS MONGBWALU,ZS NYANKUNDE,TOTAL GENERAL
Report (Nombre de malades présents au lit à la fin de journée précédente),33,34,30,22,119
Nouvelles Admissions du jour PPL,3,1,0,1,5
Nouvelles Admissions du jour Autres,8,10,4,1,23
Total des nouvelles admissions du jour,11,11,4,2,28
Effectif total en isolement,44,45,34,24,147
