Zone de santé,Actions réalisées
Bunia,Dotation et installation de dispositifs de gestion des déchets; décontamination de 1 ESS (Clinique Marie Claire); 5 EDS réalisés sur 6 alertes remontées; 1 décontamination; 1 prélèvement (SWAB)
Rwampara,"Ring autour de CME Nyankunde: 3 structures sanitaires, 9 écoles, 9 églises, 1 496 ménages identifiés; briefing injection sécurisée au CS Ngona; 3 EDS, 3 décontaminations, 3 SWAB"
Bambu,Installation de 6 dispositifs de lavage des mains à l'HGR
Aru,Dotation de 4 dispositifs de lavage des mains à l'Église Anglicane
