Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri*,12 500,9 706,"77,6%"
Nord-Kivu*,4 908,4 056,"82,6%"
Tshopo,30,30,"100,0%"
Haut-Uélé,150,90,"60,0%"
Sud-Kivu (fin de suivi),0,0,NA
Total,17 588,13 882,"78,9 %"
