Zone de santé,Cas confirmés,Guéris,En hospitalisation,Décès
Bunia,35,19,1,14
Rwampara,33,25,1,7
Mongbwalu,21,10,2,9
Nyankunde,14,11,1,2
Nia-Nia,20,1,13,4
Lita,4,1,2,1
Nizi,3,0,0,3
Mangala,4,2,1,1
Bambu,2,2,0,0
Kilo,2,1,1,0
Logo,3,0,3,0
"Total — létalité 29,1 %",141,72,25,41
