Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,11 496,9 434,"82,1 %"
Nord-Kivu*,6 163,4 602,"74,7 %"
Haut-Uélé**,562,375,"66,7 %"
Sud-Kivu,55,55,"100,0 %"
Tshopo***,ND,ND,ND
Total,18 276,14 466,"79,2 %"
