Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,10 744,8 136,"75,7%"
Nord-Kivu,2 202,1 970,"89,5%"
Sud Kivu*,0,0,NA
Total,12 946,10 106,"78,1%"
