Provinces,Zones de santé,Nbre de cas suspects,Nbre de décès suspects,Nbre de cas Confirmés,Nbre de contacts
Ituri,Mongbwalu,302,74,1,161
Ituri,Rwampara,136,38,19,120
Ituri,Bunia,61,18,6,127
Ituri,Nyankunde,14,1,4,133
Nord-Kivu,Goma,1,0,1,ND
Nord-Kivu,Katwa,1,0,1,ND
Nord-Kivu,Butembo,1,0,1,ND
Total,Total,516,131,33,541
