Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"19 (76,0%)","5 (33,3%)"
Cas confirmés en cours de suivi,"145 (71,1%)","8 (100,0%)"
Nouveaux cas suspects,"23 (40,4%)","56 (57,1%)"
Cas suspects en cours de suivi,"120 (71,4%)","45 (68,2%)"
Résultats de laboratoire annoncés (dont positifs),50 (17),48 (15)
Enfants séparés — crèche / communauté,1/76,0/7
Accompagnants au CTE,354,34
Personnels de première ligne (PPL),15,40
Membres des ménages et communautés,93,65
EDS appuyés (SMSPS),19,7
