Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 281,2 701,"63,1%"
Nord-Kivu,689,578,"83,9%"
Sud-Kivu,187,184,"98,4%"
Total,5 157,3 463,"67,2%"
