Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,4572,2 043,"44,7%","28/36 (77,8 %)",62
Nord-Kivu,698,476,"68,2%","13/34 (38,2 %)",18
Haut-Uélé,168,77,"45,8%","6/13 (46,1 %)",3
Tshopo,15,8,"53,3%","7/23 (30,4 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Bas Uélé,2,1,"50,0%","2/11(18,2%)",0
Total,5 458,2 606,"47,7%","57/151 (37,7 %)",83
