INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"11 (57,9%)","4(100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"63 (42,9%)","1(100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"13 (30,2%)","2(100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"70 (52,6%)","8(100,0%)","3 (100,0%)"
Résultats de laboratoire ayant été annoncés,29,8,1
Dont positifs,9,4,1
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,6,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,7
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,102,6,0
Nb PPL ayant bénéficié d'interventions SMSPS,47,6,2
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,39,0,0
Nbre d'EDS appuyés,16,0,0
