Date,Provenance/ZS,Reprévelement,Diagnostic Résultats P1 Positifs,Diagnostic Résultats P1 Négatifs,Diagnostic Résultats P2 Positifs,Diagnostic Résultats P2 Négatifs,Suivi Résultats P3 à P5 Positifs,Suivi Résultats P3 à P5 Négatifs
22/05/2026,Nyakunde,0,0,0,0,0,0,0
22/05/2026,Mongbwalu,0,0,0,0,0,0,0
TOTAL,TOTAL,0,0,0,0,0,0,0
