Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri*,11 980,9 588,"80,0%"
Nord-Kivu*,5 911,4 418,"74,7%"
Tshopo,ND,ND,ND
Haut-Uélé,562,375,"66,7%"
Sud-Kivu,55,55,"100,0%"
Total,18 508,14 436,"78,0 %"
