Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,708,141,ND,ND,849
Patients au lit (J-1),556,176,ND,ND,732
Total admissions (24 h),68,24,ND,ND,92
Total admissions,654,200,ND,ND,854
Sorties Décédés,22,1,ND,ND,23
Sorties Non-cas,20,15,ND,ND,35
Sorties Guéris,23,1,ND,ND,24
Sorties Evadés,3,1,ND,ND,4
Sorties Transférés à l'HGR,0,0,ND,ND,0
Total sorties (24 h),68,18,ND,ND,86
Patients en isolement (fin J),556,182,ND,ND,738
dont confirmés,257,17,ND,ND,274
dont suspects,299,165,ND,ND,464
Taux d'occupation,"78,5 %","129,1 %",ND,ND,"86,9 %"
