DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,12,2,14,12,1,0,0,13,10
Bas Uélé,25,0,25,4,0,21,0,4,0
Ituri,803,74,877,142,74,626,0,216,125
Nord-Kivu,608,42,650,70,38,501,4,108,50
Sud-Kivu,ND,ND,0,ND,ND,ND,ND,ND,ND
Tshopo,138,1,139,6,1,132,0,7,1
Total Général,1586,119,1 705,234,114,1280,4,348,186
