Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions,18,ND
Cas confirmés en cours de suivi,119,ND
Nouveaux cas suspects,30,ND
Cas suspects en cours de suivi,101,ND
Résultats de laboratoire annoncés (dont positifs),68 (18),ND
Enfants séparés — crèche / communauté,0 / 52,ND
Accompagnants au CTE,167,ND
Personnels de première ligne (PPL),5,ND
Membres des ménages et communautés,75,ND
EDS appuyés (SMSPS),14,ND
