Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,3 350,1 317,"39,3"
Nord-Kivu,510,301,"59,0"
Sud-Kivu,150,142,"95,0"
Total,4 010,1 760,"43,9"
