Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,3 521,1 502,"42,7%",61,27,11,38
Ituri Adja,11,1,"9,1%",0,"","",""
Ituri Aru,6,6,"100,0%",1,1,"",1
Ituri Ariwara,7,2,"28,6%",0,"","",""
Ituri Aungba,10,5,"50,0%",0,"","",""
Ituri Bambu,77,20,"26,0%",8,3,"",3
Ituri Boga,1,1,"100,0%",0,"","",""
Ituri Bunia,967,297,"30,7%",17,3,5,8
Ituri Damas,18,8,"44,4%",0,"","",""
Ituri Drodro,11,6,"54,5%",0,"","",""
Ituri Fataki,45,24,"53,3%",5,3,1,4
Ituri Gethy,2,1,"50,0%",1,1,"",1
Ituri Kambala,2,0,"0,0%",0,"","",""
Ituri Kilo,29,11,"37,9%",0,"","",""
Ituri Komanda,39,29,"74,4%",1,"",2,2
Ituri Lita,152,89,"58,6%",1,"","",""
Ituri Logo,10,5,"50,0%",0,"","",""
Ituri Lolwa,7,2,"28,6%",0,"","",""
Ituri Mahagi,4,1,"25,0%",0,"","",""
Ituri Mambasa,10,6,"60,0%",0,"","",""
Ituri Mandima,16,12,"75,0%",0,"","",""
Ituri Mangala,108,67,"62,0%",0,"","",""
Ituri Mongbwalu,561,272,"48,5%",3,2,2,4
Ituri Nia-Nia,114,67,"58,8%",2,1,"",1
Ituri Nizi,437,216,"49,4%",6,4,1,5
Ituri Nyankunde,115,35,"30,4%",0,"","",""
Ituri Rimba,9,4,"44,4%",0,"","",""
Ituri Rwampara,708,291,"41,1%",16,9,"",9
Ituri Tchomia,45,24,"53,3%",0,"","",""
Nord-Kivu,447,302,"67,6%",11,5,5,10
Nord-Kivu Beni,65,49,"75,4%",1,"","",""
Nord-Kivu Butembo,92,71,"77,2%",0,"",2,2
Nord-Kivu Goma,1,0,"0,0%",0,"","",""
Nord-Kivu Kalunguta,8,4,"50,0%",0,"","",""
Nord-Kivu Katwa,208,135,"64,9%",8,4,2,6
Nord-Kivu Kyondo,13,10,"76,9%",0,"","",""
Nord-Kivu Lubero,1,1,"100,0%",0,"",1,1
Nord-Kivu Mabalako,1,0,"0,0%",0,"","",""
Nord-Kivu Masereka,5,1,"20,0%",0,"","",""
Nord-Kivu Musienene,47,26,"55,3%",2,1,"",1
Nord-Kivu Oicha,4,3,"75,0%",0,"","",""
Nord-Kivu Vuhovi,2,1,"50,0%",0,"","",""
Haut-Uélé,74,41,"55,4%",7,1,1,2
Haut-Uélé Boma Mangbetu,15,5,"33,3%",2,"","",""
Haut-Uélé Gombari,1,1,"100,0%",1,1,"",1
Haut-Uélé Isiro,26,15,"57,7%",1,"","",""
Haut-Uélé Pawa,15,11,"73,3%",3,"","",""
Haut-Uélé Rungu,1,0,"0,0%",0,"","",""
Haut-Uélé Wamba,16,9,"56,2%",0,"","",""
Tshopo,8,5,"62,5%",1,"","",""
Tshopo Bafwasende,1,0,"0,0%",1,"","",""
Tshopo Kabondo,1,1,"100,0%",0,"","",""
Tshopo Lubunga,1,0,"0,0%",0,"","",""
Tshopo Makiso-Kisangani,3,3,"100,0%",0,"","",""
Tshopo Mangobo,1,1,"100,0%",0,"","",""
Tshopo Wanie-Rukula,1,0,"0,0%",0,"","",""
Sud-Kivu,3,1,"33,3%",0,"","",""
Sud-Kivu Miti-Murhesa,3,1,"33,3%",0,"","",""
Total,4 053,1 850,"45,7%",80,33,16,49
