INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"3 (37,5%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"48 (44,8%)","8 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"21 (61,7%)","6 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"51 (45,9%)","27(100,0%)","1 (100,0%)"
Résultats de laboratoire ayant été annoncés,6,"28 (100,0%)",0
Dont positifs,3,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,3
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,57,7,0
Nb PPL ayant bénéficié d'interventions SMSPS,74,4,7
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,7,1,0
Nbre d'EDS appuyés,7,10,0
