Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,3 636,1 551,"42,7 %","28/36 (77,8 %)",73
Nord-Kivu,470,315,"67,0 %","12/34 (35,3 %)",12
Haut-Uélé,91,44,"48,4 %","6/13 (46,1 %)",4
Tshopo,9,5,"55,6 %","6/23 (26,0 %)",0
Sud-Kivu,3,1,"33,3 %","1/34 (2,9 %)",0
Total,4 209,1 916,"45,5 %","53/140 (37,8 %)",89
