Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4194,1838,"43,8%",89,30,17,47
Ituri Adja,11,1,"9,1%","","","",0
Ituri Aru,7,6,"85,7%","","","",0
Ituri Ariwara,7,2,"28,6%","","","",0
Ituri Aungba,11,5,"45,5%","","","",0
Ituri Bambu,109,25,"22,9%","","","",0
Ituri Boga,1,1,"100,0%","","","",0
Ituri Bunia,1157,352,"30,4%",41,14,"",14
Ituri Damas,23,9,"39,1%","","","",0
Ituri Drodro,13,6,"46,2%","","","",0
Ituri Fataki,64,30,"46,9%",1,0,"",0
Ituri Gethy,4,1,"25,0%","","","",0
Ituri Kambala,2,0,"0,0%","","","",0
Ituri Kilo,31,12,"38,7%","","","",0
Ituri Komanda,48,32,"66,7%",3,1,"",1
Ituri Lita,173,98,"56,6%",1,1,"",1
Ituri Logo,11,5,"45,5%","","","",0
Ituri Lolwa,15,4,"26,7%",1,0,"",0
Ituri Mahagi,4,1,"25,0%","","","",0
Ituri Mambasa,14,7,"50,0%",1,1,"",1
Ituri Mandima,23,14,"60,9%",1,1,"",1
Ituri Mangala,156,88,"56,4%",15,5,"",5
Ituri Mongbwalu,585,282,"48,2%",1,0,"",0
Ituri Nia-Nia,164,96,"58,5%",3,0,"",0
Ituri Nizi,534,239,"44,8%",10,3,"",3
Ituri Nyankunde,120,35,"29,2%","","","",0
Ituri Rimba,9,4,"44,4%","","","",0
Ituri Rwampara,849,328,"38,6%",11,4,"",4
Ituri Tchomia,49,25,"51,0%","","","",0
Ituri A ventiler,NA,130,NA,NA,NA,17,17
Nord-Kivu,596,417,"70,0%",8,3,3,6
Nord-Kivu Beni,91,68,"74,7%",1,0,2,2
Nord-Kivu Butembo,111,92,"82,9%",1,1,"",1
Nord-Kivu Goma,1,0,"0,0%","","","",0
Nord-Kivu Kalunguta,12,5,"41,7%","","","",0
Nord-Kivu Katwa,285,193,"67,7%",5,2,1,3
Nord-Kivu Kyondo,15,12,"80,0%","","","",0
Nord-Kivu Lubero,1,1,"100,0%","","","",0
Nord-Kivu Mabalako,2,1,"50,0%","","","",0
Nord-Kivu Masereka,7,4,"57,1%","","","",0
Nord-Kivu Musienene,62,35,"56,5%",1,0,"",0
Nord-Kivu Oicha,5,4,"80,0%","","","",0
Nord-Kivu Vuhovi,4,2,"50,0%","","","",0
Haut-Uélé,138,62,"44,9%",3,0,0,0
Haut-Uélé Boma Mangbetu,22,8,"36,4%","","","",0
Haut-Uélé Gombari,1,1,"100,0%","","","",0
Haut-Uélé Isiro,42,19,"45,2%",3,0,"",0
Haut-Uélé Pawa,19,14,"73,7%","","","",0
Haut-Uélé Rungu,1,0,"0,0%","","","",0
Haut-Uélé Wamba,53,20,"37,7%","","","",0
Tshopo,13,6,"46,2%",1,0,0,0
Tshopo Bafwasende,1,0,"0,0%","","","",0
Tshopo Kabondo,3,2,"66,7%","","","",0
Tshopo Lubunga,1,0,"0,0%","","","",0
Tshopo Makiso-Kisangani,4,3,"75,0%",1,0,"",0
Tshopo Mangobo,2,1,"50,0%","","","",0
Tshopo Tshopo,1,0,"0,0%","","","",0
Tshopo Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Sud-Kivu Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,1,1,"100,0%",0,0,0,0
Bas Uélé Buta,1,1,"100,0%","","","",0
Total,4945,2325,"47,0%",101,33,20,53
