Indicateurs,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (15/15),100 % (75/75)
Nombre de personnes passées aux PoE/PoC,86463,62822,149 285
% des voyageurs screenés,"92,3 %","97,0 %","94,3 %"
% des voyageurs ayant lavé les mains,"91,8 %","97,0 %","94,0 %"
% des voyageurs sensibilisés,"98,7 %","97,0 %","98,0 %"
Nombre d'alertes notifiées,3,2,5
Nombre d'alertes vivantes validées,3,1,4
Nombre de corps sans vie interceptés ce jour,0,1,1
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"66,7 %",50%,"60,0 %"
% des corps sans vie swabés,NA,50%,50%
Nombre de résultat positif des cas suspects référés,0,0,0
