Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri*,10 848,9 050,"83,4%"
Nord-Kivu*,5 942,4 465,"75,1%"
Tshopo**,65,43,"66,2%"
Haut-Uélé***,562,375,"66,7%"
Sud-Kivu,55,55,"100,0%"
Total,17 472,13 988,"80,1 %"
