INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"10 (52,6%)","2 (100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"33 (34,4%)","7 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"8 (27,6%)","7 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"55 (65,5%)","14 (100,0%)","1 (100,0%)"
Résultats de laboratoire ayant été annoncés,27,19,0
Dont positifs,11,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,9,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,15,0,13
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,48,22,0
Nb PPL ayant bénéficié d'interventions SMSPS,1,7,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,16,4,0
Nbre d'EDS appuyés,12,14,0
