Zone de santé,Actions réalisées
Bunia,Briefing des autorités du Groupe Scolaire Gabriel (Ring CH SOFEPADI) sur le lavage des mains.
Bunia,Briefing de 6 prestataires de soins au CS Lembabo sur les principes de triage et la réalisation du ring de surveillance autour de la structure et une dotation de Thermoflash.
Nyankunde,"Briefing 16 prestataires des soins (10 EDS, 4 Superviseurs et 2 IT) sur les précautions standards, port et retrait des EPI."
Nyankunde,5 EDS réalisés sur 5 alertes (4 l'HGR et 1 AS Birinyama).
Rwampara,"Décontamination des 4 structures sanitaires après leurs fermetures temporaires (PS Espoir, PS Tumaini, PS Uponyadji et PS la Solution) et décontamination de la Maternité de Clinique Elikya Mère-enfant)."
Bambu,Installation de 37 poubelles (étiquetées) pour les déchets médicaux dans les différents services de l’HGR.
Aru,Briefing de 21 prestataires de soins au BCZ sur le port et retrait d’EPI et les précautions standards et un accompagnement de l’HGR
