Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,1 808,631,"34,9 %",42,5,13,18
Ituri Bunia,534,172,"32,2 %",16,3,3,6
Ituri Rwampara,405,95,"23,5 %",9,0,5,5
Ituri Mongbwalu,336,182,"54,2 %","","",1,1
Ituri Nizi,131,50,"38,2 %",5,2,0,2
Ituri Nyankunde,99,26,"26,3 %","","",1,1
Ituri Mangala,50,29,"58,0 %","","","",""
Ituri Lita,59,23,"39,0 %",5,0,1,1
Ituri Nia-Nia,36,7,"19,4 %",6,0,0,0
Ituri Bambu,31,10,"32,3 %","","","",""
Ituri Komanda,27,10,"37,0 %",0,0,2,2
Ituri Tchomia,19,4,"21,1 %","","","",""
Ituri Non identifiées,17,0,"0,0 %","","","",""
Ituri Kilo,9,1,"11,1 %","","","",""
Ituri Mandima,8,3,"37,5 %","","","",""
Ituri Logo,7,0,"0,0 %","","","",""
Ituri Aungba,6,2,"33,3 %","","","",""
Ituri Damas,5,0,"0,0 %","","","",""
Ituri Mambasa,5,4,"80,0 %","","","",""
Ituri Rimba,4,0,"0,0 %","","","",""
Ituri Fataki,5,4,"80,0 %","","","",""
Ituri Drodro,5,3,"60,0 %","","","",""
Ituri Aru,3,1,"33,3 %","","","",""
Ituri Kambala,2,2,"100,0 %","","","",""
Ituri Gety,1,0,"0,0 %","","","",""
Ituri Lolwa,2,1,"50,0 %",1,0,0,0
Ituri Boga,1,1,"100,0 %","","","",""
Ituri Ariwara,1,1,"100,0 %","","","",""
Nord-Kivu,182,106,"58,2 %",5,3,1,4
Nord-Kivu Katwa,76,55,"72,4%",3,3,1,4
Nord-Kivu Butembo,46,22,"47,8%","","","",""
Nord-Kivu Beni,31,20,"64,5%",1,"","",""
Nord-Kivu Musienene,11,2,"18,2%",1,"","",""
Nord-Kivu Kyondo,7,3,"42,9%","","","",""
Nord-Kivu Kalunguta,2,1,"50,0%","","","",""
Nord-Kivu Masereka,3,0,"0,0 %","","","",""
Nord-Kivu Oicha,3,2,"66,7 %","","","",""
Nord-Kivu Goma,1,0,"0,0 %","","","",""
Nord-Kivu Vuhovi,1,1,"100,0 %","","","",""
Nord-Kivu Mabalako,1,0,"0,0 %","","","",""
Sud-Kivu,3,1,"33,3 %",47,8,14,22
Sud-Kivu Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,14,13,"92,9 %",7,6,"",6
Haut-Uélé Wamba,8,8,"100,0 %",1,1,"",1
Haut-Uélé Pawa,3,3,"100,0 %",3,3,"",3
Haut-Uélé Boma Mangbetu,2,1,"50,0 %",2,1,"",1
Haut-Uélé Isiro,1,1,"100,0 %",1,1,"",1
Tshopo,4,3,"75,0 %",—,—,"",""
Tshopo Makiso-Kisangani,2,2,"100,0 %","","","",""
Tshopo Mangobo,1,0,"0,0 %","","","",""
Tshopo Lubunga,1,1,"100,0 %","","","",""
Total,2 011,754,"37,5%",54,14,14,28
