Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,266,755,7,1028
Alertes investiguées,81,746,3,830
Taux d'investigation,"30,5%","98,8%","42,9%","80,7%"
Alertes validées Vivantes,60,54,2,116
Alertes validées Décédées,16,19,0,35
Total des cas suspects du jour,76,73,2,151
