Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,7581,6167,"81,3 %"
Nord-Kivu,2628,2202,"83,8 %"
Tshopo,ND,ND,ND
Haut-Uélé,310,162,"52,3%"
Sud-Kivu (fin de suivi),0,0,NA
Total,10519,8531,"81,1 %"
