Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Ensemble
Patients au lit (J-1),487,135,22,644
Total admissions (24h),51,21,0,72
Sorties (24h) Décédés (Suspects/Conf),15,1,0,16
Sorties (24h) Non-cas,45,7,3,55
Sorties (24h) Guéris,15,1,0,16
Sorties (24h) Évadés (Suspects/Conf.),1,0,0,1
Sorties (24h) Transférés à l'HGR,0,0,0,0
Total sorties,76,9,3,88
Patients en isolement (Fin J),462,147,19,628
dont confirmés (NC+AC),201,14,0,215
dont suspects,261,133,19,413
Taux d'occupation global,90%,136%,"42,2%","89,4%"
