Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"13 (86,7%)",1 (100%)
Cas confirmés en cours de suivi,"127 (68,3%)",2 (100 %)
Nouveaux cas suspects,"32 (47,8%)",12 (100 %)
Cas suspects en cours de suivi,"148 (75,1%)",7 (100 %)
Résultats de laboratoire annoncés (dont positifs),41 (18),4 (3)
Enfants séparés — crèche / communauté,3/0,0/0
Accompagnants au CTE,291,16
Personnels de première ligne (PPL),31,18
Membres des ménages et communautés,33,0
EDS appuyés (SMSPS),2,0
