Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,143,107,7,257
Alertes investiguées,116,107,7,230
Taux d'investigation,"81,1%","100,0%","100,0%","89,5%"
Alertes validées Vivantes,60,3,6,69
Alertes validées Décédées,31,19,0,50
Total des cas suspects du jour,91,22,6,119
