Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,78,526,12,616
Alertes investiguées,57,505,12,574
Taux d'investigation,"73,1%","96,0%","100,0%","93,2%"
Alertes validées Vivantes,38,50,1,89
Alertes validées Décédées,11,19,0,30
Total des cas suspects du jour,49,69,1,119
