Indicateurs,HGR Bunia,SOFEPADI,Clinique Bénedicte,CH ELIKYA,CM LES MERITES,CITADELE,UNIBU,CH LA PROVIDENCE,RWAKOLE,CM MATHYSEN,SOUS TOTAL BUNIA,HGR RWAMPARA,CH SALAMA,CME,SOUS TOTAL RWAMPARA,HGR MONGBWALU,HGR NYANKUNDE,HGR BAMBU,HGR ARU,Total
Report (Nbre de malades au lit à la fin de journeée précédente),10,7,2,2,2,7,2,2,8,2,44,7,2,10,19,13,33,2,2,113
Nouvelles Admissions du jour PPL,0,3,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,5
Nouvelles Admissions du jour Autres,1,0,0,2,2,0,0,0,0,1,6,1,1,2,4,5,0,0,0,15
Nouvelles Admissions du jour Total admissions du jour,1,3,0,2,2,0,0,0,0,1,9,3,1,2,6,5,0,0,0,20
Effectif total en isolement,11,10,2,4,4,7,2,2,8,3,53,10,3,12,25,18,33,2,2,133
Cumul de malades admis en isolement,61,13,4,8,4,7,5,2,11,3,118,38,16,ND,54,70,36,0,3,281
Sorties Guéris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorties Décédés,0,2,0,2,0,1,0,1,0,1,7,1,0,1,2,1,0,0,0,10
Sorties Cumul des décès,42,6,0,4,1,2,2,2,3,2,64,12,0,24,36,49,1,0,1,151
Sorties Non Cas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Sorties Evadés,0,3,0,1,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,6
Sorties Transférés à HGR,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2
