Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés (24h)
Ituri,563,92,"16,3%","17 sur 36 (47,2 %)",45
Nord-Kivu,32,22,"68,8%","7 sur 34 (20,6 %)",3
Sud-Kivu,3,1,"33,3%","1 sur 34 (2,9 %)",0
Total,598,115,"19,2%","25 sur 104 (24,0 %)",48
