Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 828,3 098,"64,2%"
Nord-Kivu,1 212,684,"56,4%"
Sud-Kivu,80,80,"100,0%"
Total,6 120,3 862,"63,1%"
